Date,Average_price
089/03/25,245
089/03/27,218
089/03/28,227
089/03/29,197
089/03/30,220
089/03/31,171
089/04/01,201
089/04/02,217
089/04/03,162
089/04/04,166
089/04/05,175
089/04/07,145
089/04/08,168
089/04/09,142
089/04/10,120
089/04/11,122
089/04/12,116
089/04/13,125
089/04/14,132
089/04/15,151
089/04/17,96
089/04/18,154
089/04/19,120
089/04/20,105
089/04/21,89
089/04/22,105
089/04/24,96
089/04/25,83
089/04/26,72
089/04/27,89
089/04/28,97
089/04/29,88
089/05/01,72
089/05/02,57
089/05/03,56
089/05/04,56
089/05/05,47
089/05/06,53
089/05/08,52
089/05/09,51
089/05/10,55
089/05/11,57
089/05/12,76
089/05/13,68
089/05/14,89
089/05/16,80
089/05/17,50
089/05/18,90
089/05/19,97
089/05/20,84
089/05/22,76
089/05/23,46
089/05/24,63
089/05/25,79
089/05/26,88
089/05/27,91
089/05/29,71
089/05/30,49
089/05/31,77
089/06/01,97
089/06/02,115
089/06/03,142
089/06/04,91
089/06/05,112
089/06/06,195
089/06/09,197
089/06/10,227
089/06/12,210
089/06/13,156
089/06/14,187
089/06/15,251
089/06/16,204
089/06/17,141
089/06/19,185
089/06/20,151
089/06/21,149
089/06/22,166
089/06/23,171
089/06/24,182
089/06/26,126
089/06/27,107
089/06/28,114
089/06/29,115
089/06/30,133
089/07/01,156
089/07/02,133
089/07/03,105
089/07/05,97
089/07/06,89
089/07/07,98
089/07/08,99
089/07/10,90
089/07/11,98
089/07/12,108
089/07/13,102
089/07/14,118
089/07/15,129
089/07/16,98
089/07/17,96
089/07/19,112
089/07/20,115
089/07/21,108
089/07/22,95
089/07/24,99
089/07/25,116
089/07/26,101
089/07/27,89
089/07/28,94
089/07/29,94
089/07/30,101
089/07/31,104
089/08/01,134
089/08/02,97.6
089/08/03,162
089/08/04,92
089/08/05,89
089/08/06,77
089/08/07,83
089/08/10,76
089/08/11,91
089/08/12,93
089/08/13,108
089/08/14,125
089/08/17,124
089/08/18,116
089/08/19,103
089/08/21,122
089/08/22,101
089/08/23,79
089/08/25,92
089/08/26,107
089/08/28,165
089/08/29,200
089/08/30,147
089/08/31,150
089/09/01,182
089/09/02,188
089/09/04,202
089/09/05,203
089/09/06,178
089/09/07,165
089/09/08,179
089/09/09,179
089/09/10,184
089/09/11,180
089/09/12,175
089/09/15,183
089/09/16,202
089/09/18,178
089/09/19,197
089/09/20,215
089/09/21,229
089/09/22,192
089/09/23,195
089/09/25,240
089/09/26,245
089/09/27,245
089/09/28,260
089/09/29,207
089/09/30,175
089/10/02,177
089/10/03,168
089/10/04,194
089/10/05,241
089/10/06,243
089/10/07,192
089/10/09,223
089/10/10,216
089/10/11,232
089/10/12,229
089/10/13,273
089/10/14,240
089/10/16,232
089/10/17,207
089/10/18,160
089/10/19,167
089/10/20,168
089/10/21,163
089/10/23,186
089/10/24,212
089/10/25,207
089/10/26,254
089/10/27,256
089/10/28,234
089/10/30,205
089/10/31,161
089/11/01,171
089/11/02,170
089/11/03,136
089/11/04,150
089/11/06,145
089/11/07,162
089/11/08,192
089/11/09,167
089/11/10,182
089/11/11,192
089/11/13,178
089/11/14,146
089/11/15,135
089/11/16,128
089/11/17,126
089/11/18,101
089/11/20,120
089/11/21,124
089/11/22,115
089/11/23,140
089/11/24,137
089/11/25,166
089/11/26,116
089/11/27,124
089/11/29,113
089/11/30,114
089/12/01,117
089/12/02,91
089/12/04,104
089/12/05,105
089/12/06,84
089/12/07,123
089/12/08,131
089/12/09,135
089/12/10,98
089/12/11,116
089/12/13,117
089/12/14,118
089/12/15,128
089/12/16,118
089/12/18,106
089/12/19,101
089/12/20,93
089/12/21,110
089/12/22,101
089/12/23,117
089/12/24,86
089/12/25,105
089/12/26,103
089/12/28,90
089/12/29,89
089/12/30,67
090/01/02,66
090/01/03,66
090/01/04,68
090/01/05,79
090/01/06,86
090/01/08,87
090/01/09,57
090/01/11,54
090/01/12,74
090/01/13,85
090/01/15,118
090/01/16,168
090/01/17,147
090/01/18,144.1
090/01/19,171
090/01/20,184
090/01/21,195.1
090/01/22,199
090/01/23,210.1
090/01/29,87.1
090/01/30,113.2
090/01/31,166.6
090/02/01,186.3
090/02/02,195.6
090/02/03,185
090/02/05,180
090/02/06,191
090/02/07,204
090/02/10,254
090/02/11,229
090/02/12,165
090/02/13,120
090/02/15,152
090/02/16,160
090/02/17,136
090/02/19,173
090/02/20,159
090/02/22,154
090/02/23,161
090/02/24,203
090/02/26,164
090/02/27,171
090/03/01,196
090/03/02,192
090/03/03,190
090/03/05,197
090/03/06,199
090/03/08,182
090/03/09,163
090/03/10,185
090/03/12,145
090/03/13,171
090/03/15,186
090/03/16,175
090/03/17,133
090/03/19,97
090/03/20,123
090/03/22,124
090/03/23,135
090/03/24,124
090/03/26,139
090/03/27,172
090/03/29,159
090/03/30,167
090/03/31,159
090/04/02,169
090/04/03,151
090/04/04,126
090/04/05,144
090/04/06,171
090/04/07,162
090/04/09,121
090/04/10,97
090/04/11,90
090/04/12,102
090/04/13,113
090/04/14,132
090/04/15,97
090/04/16,102
090/04/18,119
090/04/19,121
090/04/20,131
090/04/21,111
090/04/23,103
090/04/24,76
090/04/25,84
090/04/26,100
090/04/27,100
090/04/28,111
090/04/30,81
090/05/01,68
090/05/02,64
090/05/03,100
090/05/04,130
090/05/05,131
090/05/07,110
090/05/08,91
090/05/09,82
090/05/10,70
090/05/11,86
090/05/12,84
090/05/13,68
090/05/16,45
090/05/17,73
090/05/18,114
090/05/19,104
090/05/21,112
090/05/22,118
090/05/23,132
090/05/24,138
090/05/25,109
090/05/26,113
090/05/28,105
090/05/29,115
090/05/30,159
090/05/31,143
090/06/01,165
090/06/02,158
090/06/04,177
090/06/05,195
090/06/06,186
090/06/07,165
090/06/08,121
090/06/09,105
090/06/11,130
090/06/12,127
090/06/13,98
090/06/14,85
090/06/15,105
090/06/16,84
090/06/18,98
090/06/19,150
090/06/20,131
090/06/21,116
090/06/22,113
090/06/23,100
090/06/24,113
090/06/27,109
090/06/28,94
090/06/29,96
090/06/30,83
090/07/02,99
090/07/03,89
090/07/04,109
090/07/05,119
090/07/06,148
090/07/07,153
090/07/09,119
090/07/10,105
090/07/11,113
090/07/12,119
090/07/13,108
090/07/14,111
090/07/16,103
090/07/17,100
090/07/18,92
090/07/19,121
090/07/20,152
090/07/21,161
090/07/23,121
090/07/24,129
090/07/25,121
090/07/26,121
090/07/27,113
090/07/28,117
090/07/30,124
090/08/01,155
090/08/02,134
090/08/03,121
090/08/04,138
090/08/06,155
090/08/07,213
090/08/08,176
090/08/09,209
090/08/10,200
090/08/11,191
090/08/13,172
090/08/14,185
090/08/15,199
090/08/16,213
090/08/17,211
090/08/18,200
090/08/20,201
090/08/21,206
090/08/22,223
090/08/23,189
090/08/24,146
090/08/25,163
090/08/28,140
090/08/29,164
090/08/30,175
090/08/31,159
090/09/01,205
090/09/02,240
090/09/05,174
090/09/06,203
090/09/07,186
090/09/08,150
090/09/10,160
090/09/11,174
090/09/12,162
090/09/13,186
090/09/14,216
090/09/15,224
090/09/17,214
090/09/19,202
090/09/20,195
090/09/21,190
090/09/22,189
